sample_type,anchor_text,positive_text,repeat_weight,reason_category,reason_source_field,reason_source_text,Q1,A1,Q2,session_id,Q1_row,Q2_row,distance,relation_type,dep_reason,thought_process,label,done
positive,请问于在青：重大事项是借壳????????????难到是增发圈钱? 重大事项是为了公司的发展，请见公司公告。,请问于在青：请问＂这是重要的大事＂，到底是那方面的事？公司发展方向还是经营策略还是别的？能让我们投资者了解一下吗？我们作为贵司的股东，无论大小，也无论公司发生什么事情，我们都有知情权的吧！,1,disclosure_detail,dep_reason,Q2明确针对A1笼统回答要求具体说明，并质疑回答不充分。,请问于在青：重大事项是借壳????????????难到是增发圈钱?,重大事项是为了公司的发展，请见公司公告。,请问于在青：请问＂这是重要的大事＂，到底是那方面的事？公司发展方向还是经营策略还是别的？能让我们投资者了解一下吗？我们作为贵司的股东，无论大小，也无论公司发生什么事情，我们都有知情权的吧！,002002_2007,10,14,4,Complaint,Q2明确针对A1笼统回答要求具体说明，并质疑回答不充分。,,,1
positive,请问于在青：智能卡基有赢利能力吗 智能卡项目的盈利能力较强，目前公司由于项目准备周期较长，目前还未形成盈利。,请问于在青：如果说“智能卡项目的盈利能力较强”，至少在目前就我所知全国至少有二家规模较大的此类产品的企业了，作为一家后进入的企业，你说这句话的依据是什么呢？,2,performance_governance,dep_reason,Q2针对A1中“盈利能力较强”的说法质疑其依据，并引用行业竞争情况施压。,请问于在青：智能卡基有赢利能力吗,智能卡项目的盈利能力较强，目前公司由于项目准备周期较长，目前还未形成盈利。,请问于在青：如果说“智能卡项目的盈利能力较强”，至少在目前就我所知全国至少有二家规模较大的此类产品的企业了，作为一家后进入的企业，你说这句话的依据是什么呢？,002002_2007,17,18,1,Challenge,Q2针对A1中“盈利能力较强”的说法质疑其依据，并引用行业竞争情况施压。,,,1
positive,请问于在青：我是江苏国投员工，我们这里都说江苏国投借壳琼花，应该差不多了吧！！ 哪一天我们见面，畅叙友情吧．我会到国投来找你．,请问于在青：请问重大事项是好事还是坏事，数日后会不会出公告说什么都没有。,1,disclosure_detail,dep_reason,Q2针对A1回避借壳传言，追问事项好坏并质疑可能出澄清公告，属交互依赖。,请问于在青：我是江苏国投员工，我们这里都说江苏国投借壳琼花，应该差不多了吧！！,哪一天我们见面，畅叙友情吧．我会到国投来找你．,请问于在青：请问重大事项是好事还是坏事，数日后会不会出公告说什么都没有。,002002_2007,20,21,1,Challenge,Q2针对A1回避借壳传言，追问事项好坏并质疑可能出澄清公告，属交互依赖。,,,1
positive,请问于在青：请问重大事项是好事还是坏事，数日后会不会出公告说什么都没有。 重大事项不管能不能成功，我们都会告知投资者。我们大家都希望出现重大事项无法进展而停止实施，但这种情况出现的可能性也会存在。,一点点小事停这么久.你们有没有做事啊???,1,disclosure_detail,dep_reason,Q2针对A1重大事项进展表述和回答模糊，抱怨停太久并催促实质行动。,请问于在青：请问重大事项是好事还是坏事，数日后会不会出公告说什么都没有。,重大事项不管能不能成功，我们都会告知投资者。我们大家都希望出现重大事项无法进展而停止实施，但这种情况出现的可能性也会存在。,一点点小事停这么久.你们有没有做事啊???,002002_2007,21,26,5,Complaint,Q2针对A1重大事项进展表述和回答模糊，抱怨停太久并催促实质行动。,,,1
positive,"请问于在青：董事长先生,下面的报道属实吗?江苏两信托公司谋划上市2008年02月05日05:00来源：第一财经日报作者：霍侃发表评论(0)支持(0)反对(0) 请参考前面的回答。","董事长,下面的报道属实吗?昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花(002002行情,股吧)（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例——中信信托借壳安信信托(600816行情,股吧)正在进行；北方信托借壳*ST四环(000605行情,股吧)（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券(600030行情,股吧)的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。(责任编辑：李生延)",1,disclosure_detail,dep_reason,Q2重复追问Q1同一问题，因A1回避回答，属交互依赖。,"请问于在青：董事长先生,下面的报道属实吗?江苏两信托公司谋划上市2008年02月05日05:00来源：第一财经日报作者：霍侃发表评论(0)支持(0)反对(0)",请参考前面的回答。,"董事长,下面的报道属实吗?昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花(002002行情,股吧)（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例——中信信托借壳安信信托(600816行情,股吧)正在进行；北方信托借壳*ST四环(000605行情,股吧)（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券(600030行情,股吧)的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。(责任编辑：李生延)",002002_2007,23,28,5,Complaint,Q2重复追问Q1同一问题，因A1回避回答，属交互依赖。,,,1
positive,一点点小事停这么久.你们有没有做事啊??? 这是重要的大事，请多注意公司公告．,请问嵇雪松：请问江苏琼花何时复牌?,2,answer_pressure,dep_reason,Q2针对A1未给出具体复牌时间继续追问，要求明确信息。,一点点小事停这么久.你们有没有做事啊???,这是重要的大事，请多注意公司公告．,请问嵇雪松：请问江苏琼花何时复牌?,002002_2007,26,30,4,Elaboration,Q2针对A1未给出具体复牌时间继续追问，要求明确信息。,,,1
positive,一点点小事停这么久.你们有没有做事啊??? 这是重要的大事，请多注意公司公告．,请问陈良华：什么时候开盘？,1,disclosure_detail,dep_reason,Q2针对A1回避停牌时间继续追问，要求给出具体开盘时间。,一点点小事停这么久.你们有没有做事啊???,这是重要的大事，请多注意公司公告．,请问陈良华：什么时候开盘？,002002_2007,26,31,5,Complaint,Q2针对A1回避停牌时间继续追问，要求给出具体开盘时间。,,,1
positive,请问嵇雪松：请问江苏琼花何时复牌? 公司正在筹划重大事项，目前尚未论证结束，复牌尚需数日，谢谢！,请问陈良华：什么时候开盘？,2,answer_pressure,dep_reason,Q2重复追问开盘时间，因A1未给出具体日期，视为催促。,请问嵇雪松：请问江苏琼花何时复牌?,公司正在筹划重大事项，目前尚未论证结束，复牌尚需数日，谢谢！,请问陈良华：什么时候开盘？,002002_2007,30,31,1,Complaint,Q2重复追问开盘时间，因A1未给出具体日期，视为催促。,,,1
positive,请问陈良华：什么时候开盘？ 希望在1-2月内，能公告并复牌交易,请问于在青：等待数日大概是多久?,1,disclosure_detail,dep_reason,Q2针对A1中模糊的“1-2月内”要求更精确的时间说明。,请问陈良华：什么时候开盘？,希望在1-2月内，能公告并复牌交易,请问于在青：等待数日大概是多久?,002002_2007,31,34,3,Elaboration,Q2针对A1中模糊的“1-2月内”要求更精确的时间说明。,,,1
positive,请问朱卫红：请问贵公司经营业绩是什么原因形成下滑的？拟采取什么措施回报股民？ 随着行业高速增长，行业生产能力的大幅提升，主要厂家产品多元化的趋势越来越明显，产品竞争压力将越来越激烈。针对这种形势，我们对内要加强产品质量管理、生产成本管理、管理费用管理、人力资源管理；对外要积极应对市场，加快产品更新、换代步伐，着重抓好新上生产线产品的市场开发工作，做到新产品的技术研发和市场开发并举。以自主创新、自主发展为基础，以质量管理和销售管理为重点，降低单位产品的成本，提高产品的竞争力和市场占有率。提高公司的盈利能力，回报社会，回报股东。谢谢您对公司的关心！,你好，于董事长，导致公司经营业绩下滑的主要原因有：一、由于行业的无序竞争，报告期内公司主导产品PVC片板材的销售价格明显下降，平均下降幅度约6.5%；此外，报告期公司耗用的主要原材料树脂粉、辅助材料价格较上年同期水平仍有所上升，导致产品毛利率微薄。二、由于报告期油价上涨导致运费增加，销售费用增加；由于报告期公司新增土地计提折旧增加，导致公司管理费用增加；由于报告期公司银行短期借款规模和银行贷款利率上升，导致财务费用增加。以上这几点，08年乃至以后很多年只能加剧，难以改善。那么贵公司业绩就会。。。。。。,1,disclosure_detail,dep_reason,Q2针对A1回避具体原因，列出具体因素并质疑未来，隐含追问与施压。,请问朱卫红：请问贵公司经营业绩是什么原因形成下滑的？拟采取什么措施回报股民？,随着行业高速增长，行业生产能力的大幅提升，主要厂家产品多元化的趋势越来越明显，产品竞争压力将越来越激烈。针对这种形势，我们对内要加强产品质量管理、生产成本管理、管理费用管理、人力资源管理；对外要积极应对市场，加快产品更新、换代步伐，着重抓好新上生产线产品的市场开发工作，做到新产品的技术研发和市场开发并举。以自主创新、自主发展为基础，以质量管理和销售管理为重点，降低单位产品的成本，提高产品的竞争力和市场占有率。提高公司的盈利能力，回报社会，回报股东。谢谢您对公司的关心！,你好，于董事长，导致公司经营业绩下滑的主要原因有：一、由于行业的无序竞争，报告期内公司主导产品PVC片板材的销售价格明显下降，平均下降幅度约6.5%；此外，报告期公司耗用的主要原材料树脂粉、辅助材料价格较上年同期水平仍有所上升，导致产品毛利率微薄。二、由于报告期油价上涨导致运费增加，销售费用增加；由于报告期公司新增土地计提折旧增加，导致公司管理费用增加；由于报告期公司银行短期借款规模和银行贷款利率上升，导致财务费用增加。以上这几点，08年乃至以后很多年只能加剧，难以改善。那么贵公司业绩就会。。。。。。,002002_2007,33,35,2,Challenge,Q2针对A1回避具体原因，列出具体因素并质疑未来，隐含追问与施压。,,,1
positive,请问于在青：于总你好，我是琼花的投资者，我觉得，作为公众上市公司的股东，有权利知道正在进行讨论的重大事项是什么，不管是否能成功，公告应该披露该事项内容，不能仅仅形式披露一下应付投资者，其实什么也没说，不是吗？ 上市公司信息披露的规则，我们要遵守好．请多注意公司公告，谢谢．,请问于在青：002002为什么停牌？何时复牌？,1,disclosure_detail,dep_reason,A1回避Q1对重大事项的询问，Q2直接追问停牌原因和时间，是对未回答状态的追击。,请问于在青：于总你好，我是琼花的投资者，我觉得，作为公众上市公司的股东，有权利知道正在进行讨论的重大事项是什么，不管是否能成功，公告应该披露该事项内容，不能仅仅形式披露一下应付投资者，其实什么也没说，不是吗？,上市公司信息披露的规则，我们要遵守好．请多注意公司公告，谢谢．,请问于在青：002002为什么停牌？何时复牌？,002002_2007,38,41,3,Challenge,A1回避Q1对重大事项的询问，Q2直接追问停牌原因和时间，是对未回答状态的追击。,,,1
positive,请问于在青：山东投资者向于总问好！请问002002重组进展及大约何时能复牌 目前公司不能准确预测复牌时间，谢谢您关心。,请问于在青：002002为什么停牌？何时复牌？,1,disclosure_detail,dep_reason,人工复核：Q2围绕A1未明确的复牌时间继续追问停牌原因和何时复牌，属于索要细节。,请问于在青：山东投资者向于总问好！请问002002重组进展及大约何时能复牌,目前公司不能准确预测复牌时间，谢谢您关心。,请问于在青：002002为什么停牌？何时复牌？,002002_2007,40,41,1,Elaboration,人工复核：Q2围绕A1未明确的复牌时间继续追问停牌原因和何时复牌，属于索要细节。,,,1
positive,请问嵇雪松：江苏信托借壳江苏琼花是真的吗？ 目前有关重大事项的方案正在论证中，至于是否江苏信托借壳江苏琼花，目前不便告知，谢谢您！,请问于在青：请问杨子晚报曾刊登的江苏信托借壳002一事是捕风捉影的消息吗？,1,disclosure_detail,dep_reason,人工复核：Q2围绕A1回避的江苏信托借壳传闻继续要求澄清真假，属于内容质疑。,请问嵇雪松：江苏信托借壳江苏琼花是真的吗？,目前有关重大事项的方案正在论证中，至于是否江苏信托借壳江苏琼花，目前不便告知，谢谢您！,请问于在青：请问杨子晚报曾刊登的江苏信托借壳002一事是捕风捉影的消息吗？,002002_2007,44,47,3,Challenge,人工复核：Q2围绕A1回避的江苏信托借壳传闻继续要求澄清真假，属于内容质疑。,,,1
positive,请问嵇雪松：江苏信托借壳江苏琼花是真的吗？ 目前有关重大事项的方案正在论证中，至于是否江苏信托借壳江苏琼花，目前不便告知，谢谢您！,请问于在青：请问于董：有这么回事情吗：江苏信托拟借壳江苏琼花(002003)国联信托筹备IPO昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例--中信信托借壳安信信托正在进行；北方信托借壳*ST四环（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。,1,disclosure_detail,dep_reason,Q2针对A1不便告知的回避态度，引用媒体报道继续追问同一借壳事宜。,请问嵇雪松：江苏信托借壳江苏琼花是真的吗？,目前有关重大事项的方案正在论证中，至于是否江苏信托借壳江苏琼花，目前不便告知，谢谢您！,请问于在青：请问于董：有这么回事情吗：江苏信托拟借壳江苏琼花(002003)国联信托筹备IPO昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例--中信信托借壳安信信托正在进行；北方信托借壳*ST四环（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。,002002_2007,44,49,5,Challenge,Q2针对A1不便告知的回避态度，引用媒体报道继续追问同一借壳事宜。,,,1
positive,"请问于在青：你回答了很多问题,但我还是摸不着头脑,能透露一点江苏国投借壳之事吗?谢谢!（ 请关注公司公告，谢谢。",请问于在青：请问杨子晚报曾刊登的江苏信托借壳002一事是捕风捉影的消息吗？,2,answer_pressure,dep_reason,Q2重复追问A1未正面回答的借壳传闻，仅用媒体来源具体化。,"请问于在青：你回答了很多问题,但我还是摸不着头脑,能透露一点江苏国投借壳之事吗?谢谢!（",请关注公司公告，谢谢。,请问于在青：请问杨子晚报曾刊登的江苏信托借壳002一事是捕风捉影的消息吗？,002002_2007,46,47,1,Complaint,Q2重复追问A1未正面回答的借壳传闻，仅用媒体来源具体化。,,,1
positive,"请问于在青：你回答了很多问题,但我还是摸不着头脑,能透露一点江苏国投借壳之事吗?谢谢!（ 请关注公司公告，谢谢。",请问于在青：请问于董：有这么回事情吗：江苏信托拟借壳江苏琼花(002003)国联信托筹备IPO昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例--中信信托借壳安信信托正在进行；北方信托借壳*ST四环（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。,1,disclosure_detail,dep_reason,Q2引用媒体报道继续追问Q1中借壳传闻，针对A1回避态度施压确认。,"请问于在青：你回答了很多问题,但我还是摸不着头脑,能透露一点江苏国投借壳之事吗?谢谢!（",请关注公司公告，谢谢。,请问于在青：请问于董：有这么回事情吗：江苏信托拟借壳江苏琼花(002003)国联信托筹备IPO昨日，《第一财经日报》从江苏银监局获悉，江苏省国际信托有限公司（下称“江苏信托”）和国联信托有限公司（下称“国联信托”）正谋划上市，其中，国联信托正在筹备IPO，江苏信托借壳江苏琼花（002002.SZ）也在洽谈中。据江苏银监局介绍，为IPO作准备，国联信托已由2006年底的6.15亿元增资至12.68亿元，股份制改造也已经正式启动。同时，江苏信托借壳上市也已经正式启动，目前与有关方面的洽谈正在进行中，其借壳公司江苏琼花已经从去年11月30日开始因“正在筹划重大事项，存在较大不确定性”停牌。去年3月1日信托业“新两规”开始实施后，信托公司开始业务转型，率先获准发放新牌照的公司在业务创新的同时开始谋划上市。目前，信托公司借壳上市第一例--中信信托借壳安信信托正在进行；北方信托借壳*ST四环（000605.SZ）也已经进入报批阶段。而中海信托则在年初公告称，拟在A股IPO上市，并已经在接受中信证券的上市辅导。中国人民大学信托与基金研究所执行所长邢成在研究报告《2007年中国信托业》中指出，通过上市，信托公司可以为业务拓展筹集大量资金，加快向PE（私人股权投资）等创新业务领域转型和规模化发展，而且，上市后信托公司的经营运作将完全置于市场监督之下，这对于确保信托业务的规范运作极为重要。去年底，江苏信托和国联信托都已经完成了实业投资清理，并获银监会批准换发了新牌照。,002002_2007,46,49,3,Challenge,Q2引用媒体报道继续追问Q1中借壳传闻，针对A1回避态度施压确认。,,,1
